Address A,Port A,Address B,Port B,Packets,Bytes,Packets A → B,Bytes A → B,Packets B → A,Bytes B → A,Rel Start,Duration,Bits/s A → B,Bits/s B → A
10.61.81.49,59366,192.168.108.122,53,1,82,1,82,0,0,23.093585966,0,0,0
10.61.81.49,38595,192.168.108.122,53,3,277,2,174,1,103,23.093898738,1.034241335,1345.91410427432,796.719268622153
10.61.81.49,55440,172.217.167.33,443,15,10347,7,3169,8,7178,23.354557757,26.863289089,943.741472461061,2137.63846302477
10.61.81.49,39079,192.168.108.122,53,2,220,1,90,1,130,23.36171616,0.766459563999998,939.384194310872,1356.88828067126
10.61.81.49,39185,172.217.167.14,443,19,12898,11,7033,8,5865,23.594684263,26.622710599,2113.38360122178,1762.40506486077
10.61.81.49,34287,192.168.108.121,53,2,180,1,82,1,98,23.961430335,0.166733236000002,3934.42852629568,4702.12189728021
10.61.81.49,41514,192.168.108.121,53,2,220,1,90,1,130,24.128691165,0.148749560000002,4840.35045212899,6991.61731974188
10.61.81.49,53708,172.217.161.3,443,17,11812,8,4569,9,7243,24.129711547,26.087815762,1401.11385075183,2221.11350864423
10.61.81.49,43440,172.217.166.214,443,136,101452,56,9963,80,91489,24.130356704,26.086427431,3055.38196868166,28057.1957174261
10.61.81.49,35504,192.168.108.121,53,2,209,1,86,1,123,24.131442604,0.146109585000001,4708.79442987942,6734.67110319963
10.61.81.49,39991,192.168.108.121,53,2,188,1,86,1,102,24.131714937,0.145775032,4719.60109053519,5597.66640970453
10.61.81.49,38773,172.217.166.3,443,17,13153,8,5897,9,7256,24.279728953,25.93773252,1818.81742992082,2237.97511811183
10.61.81.49,38597,172.217.166.206,443,17,13153,8,5897,9,7256,24.28049058,25.935837642,1818.95031312211,2238.13862506597
10.61.81.49,40161,192.168.108.121,53,2,188,1,86,1,102,24.28084465,0.032719069000002,21027.4931722523,24939.5849252294
10.61.81.49,34847,192.168.108.121,53,2,237,1,96,1,141,24.282629349,0.034758944,22095.0325763636,32452.0790965341
10.61.81.49,54011,172.217.27.163,443,12,7493,6,3099,6,4394,24.347307243,25.870337544,958.317608258262,1358.77624094443
10.61.81.49,41475,172.217.166.1,443,13,8885,6,3099,7,5786,24.348064546,25.868810634,958.374173082982,1789.33622634983
10.61.81.49,45698,192.168.108.121,53,2,244,1,101,1,143,24.353774928,0.232581369999998,3474.05297337446,4918.70866527275
10.61.81.49,51867,192.168.108.121,53,2,180,1,82,1,98,24.353935269,0.232382848,2822.92779198575,3373.74297090979
